,Sentence,Parser Outputs
2,a a a.,"s(dec(inj(laughing(interjection(a),interjection(a),interjection(a)))))"
4,akesi ike li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(ike))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
5,akesi kin li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
6,"akesi kin, tu kin li moku e moku.","s(dec(subj_p((noun(akesi),adjective(kin),card(numeral(tu)),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
7,"akesi kin, tu mi kin li moku e moku.","s(dec(subj_p((noun(akesi),adjective(kin),card(numeral(tu)),pronoun(mi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
8,akesi li pakala e tomo e soweli pi mute seme?,"s(int(how_many_object(subj_p(noun(akesi)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_d(noun(soweli),noun(mute),pronoun_interrogative(seme))))))"
9,akesi li pana e telo moli.,"s(dec(subj_p(noun(akesi)),pred_p(verb_t(pana),obj_d((noun(telo),adjective(moli))))))"
11,akesi Lolo,"headline(obj_i((noun(akesi),unofficial_thing(unknown(Lolo)))))"
12,akesi Lonlon,"headline(obj_i((noun(akesi),unofficial_thing(unknown(Lonlon)))))"
13,akesi mi kin li moku e moku.,"s(dec(subj_p((noun(akesi),pronoun(mi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
14,akesi mi li moku e moku.,"s(dec(subj_p((noun(akesi),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
15,"akesi mi, tu li moku e moku.","s(dec(subj_p((noun(akesi),pronoun(mi),card(numeral(tu)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
16,akesi mi tu taso li moku e moku.,"s(dec(subj_p((noun(akesi),pronoun(mi),card(numeral(tu)),adjective(taso))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
18,"akesi pi jan Ana, en jan Lope li moku e moku.","s(dec(subj_p(((noun(akesi),noun(jan),unofficial_female_name(known_female_name(Ana))),conj(en),noun(jan),unofficial_male_name(known_male_name(Lope)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
19,akesi pi jan Lope en jan Patala pona ni,"headline(obj_i((noun(akesi),(noun(jan),unofficial_male_name(known_male_name(Lope))),conj(en),noun(jan),unofficial_person_name(unknown(Patala)),adjective(pona),pronoun(ni))))"
20,akesi pi mije Mawen li utala e ijo ni.,"s(dec(subj_p((noun(akesi),noun(mije),unofficial_male_name(known_male_name(Mawen)))),pred_p(verb_t(utala),obj_d((noun(ijo),pronoun(ni))))))"
21,"akesi pona kin, tu kin li moku e moku.","s(dec(subj_p((noun(akesi),(adjective(pona),adjective(kin)),card(numeral(tu)),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
